漢字,文字コード,コード,その他
瑙,MJ文字図形名,MJ017350,NULL
瑙,MJ文字図形名,MJ059905,NULL
瑙,戸籍統一文字番号,236800,MJ017350
瑙,住基ネット統一文字コード,J+7459,MJ017350
瑙,住基ネット統一文字コード,J+B5BD,MJ059905
瑁,Unicode,U+7441,NULL
瑁,JIS X 0213,1-64-80,面区点番号
瑁,Shift_JIS-2004,E0EE,NULL
瑁,MJ文字図形名,MJ017321,NULL
瑁,MJ文字図形名,MJ017322,NULL
瑁,戸籍統一文字番号,236520,MJ017321
瑁,住基ネット統一文字コード,J+7441,MJ017321
瑁,住基ネット統一文字コード,J+B5AF,MJ017322
瑕,Unicode,U+7455,NULL
瑕,JIS X 0213,1-64-76,面区点番号
瑕,Shift_JIS-2004,E0EA,NULL
瑕,MJ文字図形名,MJ017346,NULL
瑕,戸籍統一文字番号,236750,NULL
瑕,住基ネット統一文字コード,J+7455,NULL
瑜,Unicode,U+745C,NULL
瑜,JIS X 0213,1-64-81,面区点番号
瑜,Shift_JIS-2004,E0EF,NULL
瑜,MJ文字図形名,MJ017354,NULL
瑜,MJ文字図形名,MJ017355,NULL
瑜,戸籍統一文字番号,236840,MJ017354
瑜,住基ネット統一文字コード,J+745C,MJ017354
瑜,住基ネット統一文字コード,J+B5BF,MJ017355
瑶,Unicode,U+7476,NULL
瑶,JIS X 0213,1-64-86,面区点番号
瑶,Shift_JIS-2004,E0F4,NULL
瑶,MJ文字図形名,MJ017391,NULL
瑶,戸籍統一文字番号,236980,NULL
瑶,住基ネット統一文字コード,J+7476,NULL
瑩,Unicode,U+7469,NULL
瑩,JIS X 0213,1-64-82,面区点番号
瑩,Shift_JIS-2004,E0F0,NULL
瑩,MJ文字図形名,MJ017373,NULL
瑩,戸籍統一文字番号,237410,NULL
瑩,住基ネット統一文字コード,J+7469,NULL
瑣,Unicode,U+7463,NULL
瑣,JIS X 0213,1-64-84,面区点番号
瑣,Shift_JIS-2004,E0F2,NULL
瑣,MJ文字図形名,MJ017365,NULL
瑣,MJ文字図形名,MJ017366,NULL
瑣,戸籍統一文字番号,237070,MJ017365
瑣,住基ネット統一文字コード,J+7463,MJ017365
瑣,住基ネット統一文字コード,J+B5C7,MJ017366
瑪,Unicode,U+746A,NULL
瑪,JIS X 0213,1-64-85,面区点番号
瑪,Shift_JIS-2004,E0F3,NULL
瑪,MJ文字図形名,MJ017374,NULL
瑪,戸籍統一文字番号,237150,NULL
瑪,住基ネット統一文字コード,J+746A,NULL
瑰,Unicode,U+7470,NULL
瑰,JIS X 0213,1-64-83,面区点番号
瑰,Shift_JIS-2004,E0F1,NULL
瑰,MJ文字図形名,MJ017383,NULL
瑰,戸籍統一文字番号,237200,NULL
瑰,住基ネット統一文字コード,J+7470,NULL
璋,Unicode,U+748B,NULL
璋,JIS X 0213,1-64-88,面区点番号
璋,Shift_JIS-2004,E0F6,NULL
璋,MJ文字図形名,MJ017420,NULL
璋,MJ文字図形名,MJ017421,NULL
璋,戸籍統一文字番号,237720,MJ017420
璋,戸籍統一文字番号,237850,MJ017421
璋,住基ネット統一文字コード,J+748B,MJ017420
瑾,Unicode,U+747E,NULL
瑾,JIS X 0213,1-64-87,面区点番号
瑾,Shift_JIS-2004,E0F5,NULL
瑾,MJ文字図形名,MJ017400,NULL
瑾,MJ文字図形名,MJ017401,NULL
瑾,戸籍統一文字番号,237510,MJ017400
瑾,住基ネット統一文字コード,J+747E,MJ017400
瑾,住基ネット統一文字コード,J+B5CB,MJ017401
璞,Unicode,U+749E,NULL
璞,JIS X 0213,1-64-89,面区点番号
璞,Shift_JIS-2004,E0F7,NULL
璞,MJ文字図形名,MJ017440,NULL
璞,戸籍統一文字番号,238100,NULL
璞,住基ネット統一文字コード,J+749E,NULL
瓊,Unicode,U+74CA,NULL
瓊,JIS X 0213,1-64-91,面区点番号
瓊,Shift_JIS-2004,E0F9,NULL
瓊,MJ文字図形名,MJ017495,NULL
瓊,MJ文字図形名,MJ017496,NULL
瓊,MJ文字図形名,MJ017497,NULL
瓊,戸籍統一文字番号,239080,MJ017495
瓊,戸籍統一文字番号,239180,MJ017496
瓊,住基ネット統一文字コード,J+74CA,MJ017495
瓊,住基ネット統一文字コード,J+B5DA,MJ017496
瓊,住基ネット統一文字コード,J+B5DB,MJ017497
瓔,Unicode,U+74D4,NULL
瓔,JIS X 0213,1-64-93,面区点番号
瓔,Shift_JIS-2004,E0FB,NULL
瓔,MJ文字図形名,MJ017509,NULL
瓔,戸籍統一文字番号,239330,NULL
瓔,住基ネット統一文字コード,J+74D4,NULL
瓏,Unicode,U+74CF,NULL
瓏,JIS X 0213,1-64-92,面区点番号
瓏,Shift_JIS-2004,E0FA,NULL
瓏,MJ文字図形名,MJ017504,NULL
瓏,MJ文字図形名,MJ017505,NULL
瓏,戸籍統一文字番号,239250,MJ017504
瓏,戸籍統一文字番号,239290,MJ017505
瓏,住基ネット統一文字コード,J+74CF,MJ017504
髢,Unicode,U+9AE2,NULL
髢,JIS X 0213,1-81-86,面区点番号
髢,Shift_JIS-2004,E996,NULL
髢,MJ文字図形名,MJ028913,NULL
髢,戸籍統一文字番号,513750,NULL
髢,住基ネット統一文字コード,J+9AE2,NULL
髦,Unicode,U+9AE6,NULL
髦,JIS X 0213,1-81-88,面区点番号
髦,Shift_JIS-2004,E998,NULL
髦,MJ文字図形名,MJ028917,NULL
髦,戸籍統一文字番号,513890,NULL
髦,住基ネット統一文字コード,J+9AE6,NULL
髣,Unicode,U+9AE3,NULL
髣,JIS X 0213,1-81-87,面区点番号
髣,Shift_JIS-2004,E997,NULL
髣,MJ文字図形名,MJ028914,NULL
髣,戸籍統一文字番号,513840,NULL
髣,住基ネット統一文字コード,J+9AE3,NULL
髫,Unicode,U+9AEB,NULL
髫,JIS X 0213,1-81-90,面区点番号
髫,Shift_JIS-2004,E99A,NULL
髫,MJ文字図形名,MJ028922,NULL
髫,戸籍統一文字番号,514050,NULL
髫,住基ネット統一文字コード,J+9AEB,NULL
髯,Unicode,U+9AEF,NULL
髯,JIS X 0213,1-81-89,面区点番号
髯,Shift_JIS-2004,E999,NULL
髯,MJ文字図形名,MJ028926,NULL
髯,MJ文字図形名,MJ028927,NULL
髯,戸籍統一文字番号,514160,MJ028926
髯,戸籍統一文字番号,514300,MJ028927
髯,住基ネット統一文字コード,J+9AEF,MJ028926
髯,住基ネット統一文字コード,J+BFF8,MJ028927
髴,Unicode,U+9AF4,NULL
髴,JIS X 0213,1-81-92,面区点番号
髴,Shift_JIS-2004,E99C,NULL
髴,MJ文字図形名,MJ028933,NULL
髴,戸籍統一文字番号,514260,NULL
髴,住基ネット統一文字コード,J+9AF4,NULL
髱,Unicode,U+9AF1,NULL
髱,JIS X 0213,1-81-93,面区点番号
髱,Shift_JIS-2004,E99D,NULL
髱,MJ文字図形名,MJ028929,NULL
髱,MJ文字図形名,MJ028930,NULL
髱,戸籍統一文字番号,514220,MJ028929
髱,住基ネット統一文字コード,J+9AF1,MJ028929
髱,住基ネット統一文字コード,J+BFF9,MJ028930
髻,Unicode,U+9AFB,NULL
髻,JIS X 0213,1-82-01,面区点番号
髻,Shift_JIS-2004,E99F,NULL
髻,MJ文字図形名,MJ028940,NULL
髻,戸籍統一文字番号,514530,NULL
髻,住基ネット統一文字コード,J+9AFB,NULL
髷,Unicode,U+9AF7,NULL
髷,JIS X 0213,1-81-94,面区点番号
髷,Shift_JIS-2004,E99E,NULL
髷,MJ文字図形名,MJ028936,NULL
髷,戸籍統一文字番号,514370,NULL
髷,住基ネット統一文字コード,J+9AF7,NULL
鬆,Unicode,U+9B06,NULL
鬆,JIS X 0213,1-82-02,面区点番号
鬆,Shift_JIS-2004,E9A0,NULL
鬆,MJ文字図形名,MJ028951,NULL
鬆,MJ文字図形名,MJ028952,NULL
鬆,戸籍統一文字番号,514940,MJ028951
鬆,住基ネット統一文字コード,J+9B06,MJ028951
鬆,住基ネット統一文字コード,J+BFFA,MJ028952
鬘,Unicode,U+9B18,NULL
鬘,JIS X 0213,1-82-03,面区点番号
鬘,Shift_JIS-2004,E9A1,NULL
鬘,MJ文字図形名,MJ028969,NULL
鬘,MJ文字図形名,MJ028970,NULL
鬘,戸籍統一文字番号,515780,MJ028969
鬘,戸籍統一文字番号,515810,MJ028970
鬘,住基ネット統一文字コード,J+9B18,MJ028970
鬚,Unicode,U+9B1A,NULL
鬚,JIS X 0213,1-82-04,面区点番号
鬚,Shift_JIS-2004,E9A2,NULL
鬚,MJ文字図形名,MJ028972,NULL
鬚,戸籍統一文字番号,515920,NULL
鬚,住基ネット統一文字コード,J+9B1A,NULL
鬟,Unicode,U+9B1F,NULL
鬟,JIS X 0213,1-82-05,面区点番号
鬟,Shift_JIS-2004,E9A3,NULL
鬟,MJ文字図形名,MJ028977,NULL
鬟,戸籍統一文字番号,516070,NULL
鬟,住基ネット統一文字コード,J+9B1F,NULL
鬣,Unicode,U+9B23,NULL
鬣,JIS X 0213,1-82-07,面区点番号
鬣,Shift_JIS-2004,E9A5,NULL
鬣,MJ文字図形名,MJ028981,NULL
鬣,MJ文字図形名,MJ028982,NULL
鬣,戸籍統一文字番号,516250,MJ028981
鬣,戸籍統一文字番号,516310,MJ028982
鬣,住基ネット統一文字コード,J+BFFD,MJ028981
鬣,住基ネット統一文字コード,J+9B23,MJ028982
鬢,Unicode,U+9B22,NULL
鬢,JIS X 0213,1-82-06,面区点番号
鬢,Shift_JIS-2004,E9A4,NULL
鬢,MJ文字図形名,MJ028980,NULL
鬢,戸籍統一文字番号,516180,NULL
鬢,住基ネット統一文字コード,J+9B22,NULL
矼,Unicode,U+77FC,NULL
矼,JIS X 0213,1-66-69,面区点番号
矼,Shift_JIS-2004,E1E3,NULL
矼,MJ文字図形名,MJ018421,NULL
矼,戸籍統一文字番号,268590,NULL
矼,住基ネット統一文字コード,J+77FC,NULL
砒,Unicode,U+7812,NULL
砒,JIS X 0213,1-66-71,面区点番号
砒,Shift_JIS-2004,E1E5,NULL
砒,MJ文字図形名,MJ018443,NULL
砒,戸籍統一文字番号,268830,NULL
砒,住基ネット統一文字コード,J+7812,NULL
砌,Unicode,U+780C,NULL
砌,JIS X 0213,1-66-70,面区点番号
砌,Shift_JIS-2004,E1E4,NULL
砌,MJ文字図形名,MJ018435,NULL
砌,戸籍統一文字番号,268770,NULL
砌,住基ネット統一文字コード,J+780C,NULL
砠,Unicode,U+7820,NULL
砠,JIS X 0213,1-66-73,面区点番号
砠,Shift_JIS-2004,E1E7,NULL
砠,MJ文字図形名,MJ018451,NULL
砠,戸籍統一文字番号,269030,NULL
砠,住基ネット統一文字コード,J+7820,NULL
硅,Unicode,U+7845,NULL
硅,JIS X 0213,1-66-75,面区点番号
硅,Shift_JIS-2004,E1E9,NULL
硅,MJ文字図形名,MJ018484,NULL
硅,戸籍統一文字番号,269750,NULL
硅,住基ネット統一文字コード,J+7845,NULL
碚,Unicode,U+789A,NULL
碚,JIS X 0213,1-66-80,面区点番号
碚,Shift_JIS-2004,E1EE,NULL
碚,MJ文字図形名,MJ018570,NULL
碚,戸籍統一文字番号,271430,NULL
碚,住基ネット統一文字コード,J+789A,NULL
硼,Unicode,U+787C,NULL
硼,JIS X 0213,1-66-79,面区点番号
硼,Shift_JIS-2004,E1ED,NULL
硼,MJ文字図形名,MJ018537,NULL
硼,MJ文字図形名,MJ018538,NULL
硼,戸籍統一文字番号,270880,MJ018537
硼,戸籍統一文字番号,271480,MJ018538
硼,住基ネット統一文字コード,J+B67E,MJ018537
硼,住基ネット統一文字コード,J+787C,MJ018538
碌,Unicode,U+788C,NULL
碌,JIS X 0213,1-66-81,面区点番号
碌,Shift_JIS-2004,E1EF,NULL
碌,MJ文字図形名,MJ018555,NULL
碌,MJ文字図形名,MJ018556,NULL
碌,戸籍統一文字番号,271160,MJ018555
碌,住基ネット統一文字コード,J+788C,MJ018555
碌,住基ネット統一文字コード,J+B681,MJ018556
碪,Unicode,U+78AA,NULL
碪,JIS X 0213,1-66-84,面区点番号
碪,Shift_JIS-2004,E1F2,NULL
碪,MJ文字図形名,MJ018586,NULL
碪,戸籍統一文字番号,271780,NULL
碪,住基ネット統一文字コード,J+78AA,NULL
碣,Unicode,U+78A3,NULL
碣,JIS X 0213,1-66-82,面区点番号
碣,Shift_JIS-2004,E1F0,NULL
碣,MJ文字図形名,MJ018577,NULL
碣,MJ文字図形名,MJ018578,NULL
碣,戸籍統一文字番号,271650,MJ018577
碣,住基ネット統一文字コード,J+78A3,MJ018577
碣,住基ネット統一文字コード,J+B682,MJ018578
磑,Unicode,U+78D1,NULL
磑,JIS X 0213,1-66-86,面区点番号
磑,Shift_JIS-2004,E1F4,NULL
磑,MJ文字図形名,MJ018630,NULL
磑,戸籍統一文字番号,272480,NULL
磑,住基ネット統一文字コード,J+78D1,NULL
磋,Unicode,U+78CB,NULL
磋,JIS X 0213,1-66-88,面区点番号
磋,Shift_JIS-2004,E1F6,NULL
磋,MJ文字図形名,MJ018621,NULL
磋,戸籍統一文字番号,272410,NULL
磋,住基ネット統一文字コード,J+78CB,NULL
碾,Unicode,U+78BE,NULL
碾,JIS X 0213,1-66-90,面区点番号
碾,Shift_JIS-2004,E1F8,NULL
碾,MJ文字図形名,MJ018604,NULL
碾,戸籍統一文字番号,272160,NULL
碾,住基ネット統一文字コード,J+78BE,NULL
磅,Unicode,U+78C5,NULL
磅,JIS X 0213,1-66-92,面区点番号
磅,Shift_JIS-2004,E1FA,NULL
磅,MJ文字図形名,MJ018614,NULL
磅,MJ文字図形名,MJ018615,NULL
磅,戸籍統一文字番号,272320,MJ018614
磅,戸籍統一文字番号,272650,MJ018615
磅,住基ネット統一文字コード,J+78C5,MJ018614
碼,Unicode,U+78BC,NULL
碼,JIS X 0213,1-66-91,面区点番号
碼,Shift_JIS-2004,E1F9,NULL
碼,MJ文字図形名,MJ018602,NULL
碼,戸籍統一文字番号,272140,NULL
碼,住基ネット統一文字コード,J+78BC,NULL
磊,Unicode,U+78CA,NULL
磊,JIS X 0213,1-66-93,面区点番号
磊,Shift_JIS-2004,E1FB,NULL
磊,MJ文字図形名,MJ018620,NULL
磊,戸籍統一文字番号,272400,NULL
磊,住基ネット統一文字コード,J+78CA,NULL
磔,Unicode,U+78D4,NULL
磔,JIS X 0213,1-66-89,面区点番号
磔,Shift_JIS-2004,E1F7,NULL
磔,MJ文字図形名,MJ018634,NULL
磔,MJ文字図形名,MJ018635,NULL
磔,MJ文字図形名,MJ018636,NULL
磔,MJ文字図形名,MJ018637,NULL
磔,戸籍統一文字番号,272640,MJ018634
磔,戸籍統一文字番号,273090,MJ018635
磔,住基ネット統一文字コード,J+B689,MJ018634
磔,住基ネット統一文字コード,J+78D4,MJ018635
磔,住基ネット統一文字コード,J+B68A,MJ018636
磔,住基ネット統一文字コード,J+B68B,MJ018637
磬,Unicode,U+78EC,NULL
磬,JIS X 0213,1-66-94,面区点番号
磬,Shift_JIS-2004,E1FC,NULL
磬,MJ文字図形名,MJ018659,NULL
磬,戸籍統一文字番号,273030,NULL
磬,住基ネット統一文字コード,J+78EC,NULL
磧,Unicode,U+78E7,NULL
磧,JIS X 0213,1-67-01,面区点番号
磧,Shift_JIS-2004,E240,NULL
磧,MJ文字図形名,MJ018653,NULL
磧,戸籍統一文字番号,272960,NULL
磧,住基ネット統一文字コード,J+78E7,NULL
磚,Unicode,U+78DA,NULL
磚,JIS X 0213,1-67-02,面区点番号
磚,Shift_JIS-2004,E241,NULL
磚,MJ文字図形名,MJ018640,NULL
磚,戸籍統一文字番号,272670,NULL
磚,住基ネット統一文字コード,J+78DA,NULL
磽,Unicode,U+78FD,NULL
磽,JIS X 0213,1-67-03,面区点番号
磽,Shift_JIS-2004,E242,NULL
磽,MJ文字図形名,MJ018679,NULL
磽,戸籍統一文字番号,273440,NULL
磽,住基ネット統一文字コード,J+78FD,NULL
磴,Unicode,U+78F4,NULL
磴,JIS X 0213,1-67-04,面区点番号
磴,Shift_JIS-2004,E243,NULL
磴,MJ文字図形名,MJ018668,NULL
磴,戸籍統一文字番号,273280,NULL
磴,住基ネット統一文字コード,J+78F4,NULL
礒,Unicode,U+7912,NULL
礒,JIS X 0213,1-67-06,面区点番号
礒,Shift_JIS-2004,E245,NULL
礒,MJ文字図形名,MJ018697,NULL
礒,戸籍統一文字番号,273810,NULL
礒,住基ネット統一文字コード,J+7912,NULL
礑,Unicode,U+7911,NULL
礑,JIS X 0213,1-67-07,面区点番号
礑,Shift_JIS-2004,E246,NULL
礑,MJ文字図形名,MJ018696,NULL
礑,戸籍統一文字番号,273800,NULL
礑,住基ネット統一文字コード,J+7911,NULL
礙,Unicode,U+7919,NULL
礙,JIS X 0213,1-67-08,面区点番号
礙,Shift_JIS-2004,E247,NULL
礙,MJ文字図形名,MJ018703,NULL
礙,戸籍統一文字番号,274000,NULL
礙,住基ネット統一文字コード,J+7919,NULL
礫,Unicode,U+792B,NULL
礫,JIS X 0213,1-67-10,面区点番号
礫,Shift_JIS-2004,E249,NULL
礫,MJ文字図形名,MJ018725,NULL
礫,戸籍統一文字番号,274320,NULL
礫,住基ネット統一文字コード,J+792B,NULL
礬,Unicode,U+792C,NULL
礬,JIS X 0213,1-67-09,面区点番号
礬,Shift_JIS-2004,E248,NULL
礬,MJ文字図形名,MJ018726,NULL
礬,戸籍統一文字番号,274330,NULL
礬,住基ネット統一文字コード,J+792C,NULL
釵,Unicode,U+91F5,NULL
釵,JIS X 0213,1-78-64,面区点番号
釵,Shift_JIS-2004,E7DE,NULL
釵,MJ文字図形名,MJ026639,NULL
釵,MJ文字図形名,MJ026640,NULL
釵,戸籍統一文字番号,456270,MJ026639
釵,住基ネット統一文字コード,J+BDC8,MJ026639
釵,住基ネット統一文字コード,J+91F5,MJ026640
釿,Unicode,U+91FF,NULL
釿,JIS X 0213,1-78-67,面区点番号
釿,Shift_JIS-2004,E7E1,NULL
釿,MJ文字図形名,MJ026653,NULL
釿,戸籍統一文字番号,456330,NULL
釿,住基ネット統一文字コード,J+91FF,NULL
鈞,Unicode,U+921E,NULL
鈞,JIS X 0213,1-78-66,面区点番号
鈞,Shift_JIS-2004,E7E0,NULL
鈞,MJ文字図形名,MJ026690,NULL
鈞,戸籍統一文字番号,456670,NULL
鈞,住基ネット統一文字コード,J+921E,NULL
鈕,Unicode,U+9215,NULL
鈕,JIS X 0213,1-78-70,面区点番号
鈕,Shift_JIS-2004,E7E4,NULL
鈕,MJ文字図形名,MJ026681,NULL
鈕,戸籍統一文字番号,456580,NULL
鈕,住基ネット統一文字コード,J+9215,NULL
鈑,Unicode,U+9211,NULL
鈑,JIS X 0213,1-78-71,面区点番号
鈑,Shift_JIS-2004,E7E5,NULL
鈑,MJ文字図形名,MJ026674,NULL
鈑,戸籍統一文字番号,456540,NULL
鈑,住基ネット統一文字コード,J+9211,NULL
鈔,Unicode,U+9214,NULL
鈔,JIS X 0213,1-78-68,面区点番号
鈔,Shift_JIS-2004,E7E2,NULL
鈔,MJ文字図形名,MJ026680,NULL
鈔,戸籍統一文字番号,456570,NULL
鈔,住基ネット統一文字コード,J+9214,NULL
鉗,Unicode,U+9257,NULL
鉗,JIS X 0213,1-78-73,面区点番号
鉗,Shift_JIS-2004,E7E7,NULL
鉗,MJ文字図形名,MJ026753,NULL
鉗,戸籍統一文字番号,457400,NULL
鉗,住基ネット統一文字コード,J+9257,NULL
鉉,Unicode,U+9249,NULL
鉉,JIS X 0213,1-78-75,面区点番号
鉉,Shift_JIS-2004,E7E9,NULL
鉉,MJ文字図形名,MJ026737,NULL
鉉,戸籍統一文字番号,457240,NULL
鉉,住基ネット統一文字コード,J+9249,NULL
鉞,Unicode,U+925E,NULL
鉞,JIS X 0213,1-78-72,面区点番号
鉞,Shift_JIS-2004,E7E6,NULL
鉞,MJ文字図形名,MJ026762,NULL
鉞,戸籍統一文字番号,457460,NULL
鉞,住基ネット統一文字コード,J+925E,NULL
鉅,Unicode,U+9245,NULL
鉅,JIS X 0213,1-78-74,面区点番号
鉅,Shift_JIS-2004,E7E8,NULL
鉅,MJ文字図形名,MJ026732,NULL
鉅,MJ文字図形名,MJ026733,NULL
鉅,戸籍統一文字番号,457200,MJ026732
鉅,住基ネット統一文字コード,J+9245,MJ026732
鉅,住基ネット統一文字コード,J+BDDB,MJ026733
鉋,Unicode,U+924B,NULL
鉋,JIS X 0213,1-78-80,面区点番号
鉋,Shift_JIS-2004,E7EE,NULL
鉋,MJ文字図形名,MJ026739,NULL
鉋,MJ文字図形名,MJ026740,NULL
鉋,戸籍統一文字番号,457260,MJ026739
鉋,住基ネット統一文字コード,J+924B,MJ026739
鉋,住基ネット統一文字コード,J+BDDC,MJ026740
鉈,Unicode,U+9248,NULL
鉈,JIS X 0213,1-78-77,面区点番号
鉈,Shift_JIS-2004,E7EB,NULL
鉈,MJ文字図形名,MJ026736,NULL
鉈,戸籍統一文字番号,457230,NULL
鉈,住基ネット統一文字コード,J+9248,NULL
鈿,Unicode,U+923F,NULL
鈿,JIS X 0213,1-78-79,面区点番号
鈿,Shift_JIS-2004,E7ED,NULL
鈿,MJ文字図形名,MJ026725,NULL
鈿,戸籍統一文字番号,457130,NULL
鈿,住基ネット統一文字コード,J+923F,NULL
銜,Unicode,U+929C,NULL
銜,JIS X 0213,1-78-82,面区点番号
銜,Shift_JIS-2004,E7F0,NULL
銜,MJ文字図形名,MJ026831,NULL
銜,戸籍統一文字番号,458280,NULL
銜,住基ネット統一文字コード,J+929C,NULL
銖,Unicode,U+9296,NULL
銖,JIS X 0213,1-78-83,面区点番号
銖,Shift_JIS-2004,E7F1,NULL
銖,MJ文字図形名,MJ026825,NULL
銖,戸籍統一文字番号,458210,NULL
銖,住基ネット統一文字コード,J+9296,NULL
銕,Unicode,U+9295,NULL
銕,JIS X 0213,1-78-78,面区点番号
銕,Shift_JIS-2004,E7EC,NULL
銕,MJ文字図形名,MJ026824,NULL
銕,戸籍統一文字番号,458200,NULL
銕,住基ネット統一文字コード,J+9295,NULL
銓,Unicode,U+9293,NULL
銓,JIS X 0213,1-78-84,面区点番号
銓,Shift_JIS-2004,E7F2,NULL
銓,MJ文字図形名,MJ026821,NULL
銓,MJ文字図形名,MJ026822,NULL
銓,戸籍統一文字番号,458160,MJ026821
銓,住基ネット統一文字コード,J+9293,MJ026821
銓,住基ネット統一文字コード,J+BDE4,MJ026822
銛,Unicode,U+929B,NULL
銛,JIS X 0213,1-78-85,面区点番号
銛,Shift_JIS-2004,E7F3,NULL
銛,MJ文字図形名,MJ026830,NULL
銛,戸籍統一文字番号,458270,NULL
銛,住基ネット統一文字コード,J+929B,NULL
鋩,Unicode,U+92E9,NULL
鋩,JIS X 0213,1-78-90,面区点番号
鋩,Shift_JIS-2004,E7F8,NULL
鋩,MJ文字図形名,MJ026916,NULL
鋩,MJ文字図形名,MJ026917,NULL
鋩,MJ文字図形名,MJ026918,NULL
鋩,戸籍統一文字番号,458580,MJ026916
鋩,戸籍統一文字番号,459400,MJ026917
鋩,戸籍統一文字番号,459700,MJ026918
鋩,住基ネット統一文字コード,J+92E9,MJ026916
鋏,Unicode,U+92CF,NULL
鋏,JIS X 0213,1-78-87,面区点番号
鋏,Shift_JIS-2004,E7F5,NULL
鋏,MJ文字図形名,MJ026886,NULL
鋏,戸籍統一文字番号,459030,NULL
鋏,住基ネット統一文字コード,J+92CF,NULL
銹,Unicode,U+92B9,NULL
銹,JIS X 0213,1-78-88,面区点番号
銹,Shift_JIS-2004,E7F6,NULL
銹,MJ文字図形名,MJ026860,NULL
銹,戸籍統一文字番号,458790,NULL
銹,住基ネット統一文字コード,J+92B9,NULL
銷,Unicode,U+92B7,NULL
銷,JIS X 0213,1-78-89,面区点番号
銷,Shift_JIS-2004,E7F7,NULL
銷,MJ文字図形名,MJ026857,NULL
銷,MJ文字図形名,MJ026858,NULL
銷,戸籍統一文字番号,458770,MJ026857
銷,住基ネット統一文字コード,J+92B7,MJ026857
銷,住基ネット統一文字コード,J+BDF1,MJ026858
錏,Unicode,U+930F,NULL
錏,JIS X 0213,1-78-91,面区点番号
錏,Shift_JIS-2004,E7F9,NULL
錏,MJ文字図形名,MJ026962,NULL
錏,戸籍統一文字番号,460020,NULL
錏,住基ネット統一文字コード,J+930F,NULL
錙,Unicode,U+9319,NULL
錙,JIS X 0213,1-79-01,面区点番号
錙,Shift_JIS-2004,E840,NULL
錙,MJ文字図形名,MJ026972,NULL
錙,戸籍統一文字番号,460160,NULL
錙,住基ネット統一文字コード,J+9319,NULL
錣,Unicode,U+9323,NULL
錣,JIS X 0213,1-79-04,面区点番号
錣,Shift_JIS-2004,E843,NULL
錣,MJ文字図形名,MJ026984,NULL
錣,戸籍統一文字番号,460330,NULL
錣,住基ネット統一文字コード,J+9323,NULL
錻,Unicode,U+933B,NULL
錻,JIS X 0213,1-79-07,面区点番号
錻,Shift_JIS-2004,E846,NULL
錻,MJ文字図形名,MJ027010,NULL
錻,戸籍統一文字番号,460630,NULL
錻,住基ネット統一文字コード,J+933B,NULL
鋺,Unicode,U+92FA,NULL
鋺,JIS X 0213,1-78-92,面区点番号
鋺,Shift_JIS-2004,E7FA,NULL
鋺,MJ文字図形名,MJ026935,NULL
鋺,戸籍統一文字番号,459740,NULL
鋺,住基ネット統一文字コード,J+92FA,NULL
錚,Unicode,U+931A,NULL
錚,JIS X 0213,1-79-03,面区点番号
錚,Shift_JIS-2004,E842,NULL
錚,MJ文字図形名,MJ026973,NULL
錚,MJ文字図形名,MJ026974,NULL
錚,MJ文字図形名,MJ026975,NULL
錚,戸籍統一文字番号,460210,MJ026973
錚,住基ネット統一文字コード,J+931A,MJ026973
錚,住基ネット統一文字コード,J+BDE3,MJ026974
錚,住基ネット統一文字コード,J+BDFB,MJ026975
錵,Unicode,U+9335,NULL
錵,JIS X 0213,1-79-06,面区点番号
錵,Shift_JIS-2004,E845,NULL
錵,MJ文字図形名,MJ027002,NULL
錵,MJ文字図形名,MJ027003,NULL
錵,戸籍統一文字番号,459610,MJ027002
錵,戸籍統一文字番号,460560,MJ027003
錵,住基ネット統一文字コード,J+9335,MJ027002
錺,Unicode,U+933A,NULL
錺,JIS X 0213,1-79-05,面区点番号
錺,Shift_JIS-2004,E844,NULL
錺,MJ文字図形名,MJ027008,NULL
錺,MJ文字図形名,MJ027009,NULL
錺,戸籍統一文字番号,459620,MJ027008
錺,戸籍統一文字番号,460610,MJ027009
錺,住基ネット統一文字コード,J+933A,MJ027008
鍼,Unicode,U+937C,NULL
鍼,JIS X 0213,1-79-10,面区点番号
鍼,Shift_JIS-2004,E849,NULL
鍼,MJ文字図形名,MJ027078,NULL
鍼,戸籍統一文字番号,461440,NULL
鍼,住基ネット統一文字コード,J+937C,NULL
鍮,Unicode,U+936E,NULL
鍮,JIS X 0213,1-79-11,面区点番号
鍮,Shift_JIS-2004,E84A,NULL
鍮,MJ文字図形名,MJ027061,NULL
鍮,MJ文字図形名,MJ027062,NULL
鍮,戸籍統一文字番号,461230,MJ027061
鍮,住基ネット統一文字コード,J+936E,MJ027061
鍮,住基ネット統一文字コード,J+BE13,MJ027062
鍠,Unicode,U+9360,NULL
鍠,JIS X 0213,1-79-09,面区点番号
鍠,Shift_JIS-2004,E848,NULL
鍠,MJ文字図形名,MJ027044,NULL
鍠,戸籍統一文字番号,461080,NULL
鍠,住基ネット統一文字コード,J+9360,NULL
鎰,Unicode,U+93B0,NULL
鎰,JIS X 0213,1-79-13,面区点番号
鎰,Shift_JIS-2004,E84C,NULL
鎰,MJ文字図形名,MJ027136,NULL
鎰,MJ文字図形名,MJ027137,NULL
鎰,MJ文字図形名,MJ027138,NULL
鎰,戸籍統一文字番号,462480,MJ027136
鎰,戸籍統一文字番号,462780,MJ027137
鎰,住基ネット統一文字コード,J+93B0,MJ027136
